Ghocomment,footprint,description,quantity,total price,link
33pF,0603,33pF 50V C0G ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,4,0.0236,https://jlcpcb.com/partdetail/2015-CL10C330JB8NNNC/C1663
0.1uF,0603,100nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,10,0.124,https://jlcpcb.com/partdetail/YAGEO-CC0603KRX7R9BB104/C14663
100nf,0603,100nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,10,0.124,https://jlcpcb.com/partdetail/YAGEO-CC0603KRX7R9BB104/C14663
10uF,0603,10V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,4,0.1276,https://jlcpcb.com/partdetail/20411-CL10A106KP8NNNC/C19702
1uF,0603,1uF 50V X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,4,0.0684,https://jlcpcb.com/partdetail/16531-CL10A105KB8NNNC/C15849
USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,"-25℃~+85℃ 1 10000 times 5A 5V 6.8mm 6P Female Surface Mount, Right Angle Type-C SMD USB Connectors ROHS",2,0.0988,https://jlcpcb.com/partdetail/DEALON-USB_TYPE_C006/C2927026
5.1K,0603,-55℃~+155℃ 100mW 5.1kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS,4,0.0076,https://jlcpcb.com/partdetail/23913-0603WAF5101T5E/C23186
1K,0603,-55℃~+155℃ 100mW 1kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS,4,0.0132,https://jlcpcb.com/partdetail/21904-0603WAF1001T5E/C21190
27ohn,0603,-55℃~+155℃ 100mW 27Ω 75V Thick Film Resistor ±100ppm/℃ ±5% 0603 Chip Resistor - Surface Mount ROHS,20,0.022,https://jlcpcb.com/partdetail/23790019-RCA0327RJLF/C22356575
10K,0603,-55℃~+155℃ 100mW 10kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS,4,0.0108,https://jlcpcb.com/partdetail/26547-0603WAF1002T5E/C25804
RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,12bit 133MHz 30 LQFN-56(7x7) Microcontrollers (MCU/MPU/SOC) ROHS,2,1.979,https://jlcpcb.com/partdetail/RaspberryPi-RP2040/C2040
12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,Crystal Oscillator SMD3225-4P Crystals ROHS,5,2.14,https://jlcpcb.com/partdetail/KDSDaishinku-DSX321G12MHz/C93234
PCB Cost,,,,22.8,https://jlcpcb.com
PCBA Cost,,,,27.88,https://jlcpcb.com
PCB Shipping,,,,14.03,https://jlcpcb.com
Hot-swap ,,,90,6.75 ,https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/kailh-hot-swap-socket/?attribute_pa_variations=white
Mechanical Switch ,,,90,21.1 ,https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/akko-v3-pro-cream-black-switch/
KEY-CAPS ,,,1,11.5,https://meckeys.com/shop/accessories/keyboard-accessories/keycaps/side-engraved-keycap-set/?attribute_pa_pick-your-style=blackberry-side-printed
0.1 uf Capacitor ,,Capacitors for Each LEDS,90,3.6,https://sharvielectronics.com/product/0-1uf-16v-capacitor-0603-smd-package/
1N4007 Diodes ,, for ghosting protection ,90,2.6,https://sharvielectronics.com/product/a7-1n4007-100v-1a-silicon-rectifier-diode-sod-123fl-smd-package/
SK6812MINI-E,,LEDS,90,8.1,https://www.etstore.in/products/e9974?variant=48993209319675
Components shipping (from all the three websites except jlcpcb),,,,3.3,www.etstore.in / https://sharvielectronics.com / https://meckeys.com
Total,,,,$124.67,
