Designator,Footprint,Quantity,Value,LCSC Part #
"_6, _5, _4, _3, _2, ",,6,,
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C7, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C8, C80, C81, C82, C9",0805,82,0.1 uf,
"C83, C84",0603,2,33pF,
"C86, C88, C92",0603,3,0.1uF,
"C87, C91",0603,2,10uF,
"C94, C98",0603,2,1uF,
"C95, C97",0603,2,100 nf,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D9",0805,83,D,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,
LED1,MX_SK6812MINI-E,1,C,
"LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED49, LED5, LED50, LED51, LED52, LED53, LED54, LED55, LED56, LED57, LED58, LED59, LED6, LED60, LED61, LED62, LED63, LED64, LED65, LED66, LED67, LED68, LED69, LED7, LED70, LED71, LED72, LED73, LED74, LED75, LED76, LED77, LED78, LED79, LED8, LED80, LED81, LED82, LED9",MX_SK6812MINI-E,81,~,
"R14, R7",0603,2,10K,
"R3, R4",0603,2,5.1K,
"R5, R6",0603,2,1K,
"R8, R9",0603,2,27 ohn,
"ST28, ST57, ST59",Stabilizer_Cherry_MX_2.00u,3,MountingHole,
ST76,Stabilizer_Cherry_MX_6.25u,1,MountingHole,
SW1,SW_Hotswap_Kailh_MX_1.00u,1,ESC,
SW10,SW_Hotswap_Kailh_MX_1.00u,1,F9,
SW11,SW_Hotswap_Kailh_MX_1.00u,1,F10,
SW12,SW_Hotswap_Kailh_MX_1.00u,1,F11,
SW13,SW_Hotswap_Kailh_MX_1.00u,1,F12,
SW14,SW_Hotswap_Kailh_MX_1.00u,1,Delete,
SW15,SW_Hotswap_Kailh_MX_1.00u,1,`,
SW16,SW_Hotswap_Kailh_MX_1.00u,1,1,
SW17,SW_Hotswap_Kailh_MX_1.00u,1,2,
