Designator,Mid X,Mid Y,Rotation,Layer
_6,437.642,-201.2442,0.0,top
_5,153.0096,-233.7308,0.0,top
_4,462.5086,-252.5014,0.0,top
_3,254.7112,-249.2502,0.0,top
_2,310.3118,-248.158,0.0,top
,153.0858,-159.2326,0.0,top
C1,154.4905,-152.4775,270.0,bottom
C10,340.228,-152.4775,270.0,bottom
C11,359.278,-152.4775,270.0,bottom
C12,378.328,-152.4775,270.0,bottom
C13,397.378,-152.4775,270.0,bottom
C14,421.1905,-152.4775,270.0,bottom
C15,154.4905,-176.29,270.0,bottom
C16,173.5405,-176.29,270.0,bottom
C17,192.5905,-176.29,270.0,bottom
C18,211.6405,-176.29,270.0,bottom
C19,230.6905,-176.29,270.0,bottom
C2,178.303,-152.4775,270.0,bottom
C20,249.7405,-176.29,270.0,bottom
C21,268.7905,-176.29,270.0,bottom
C22,287.8405,-176.29,270.0,bottom
C23,306.8905,-176.29,270.0,bottom
C24,325.9405,-176.29,270.0,bottom
C25,344.9905,-176.29,270.0,bottom
C26,364.0405,-176.29,270.0,bottom
C27,383.0905,-176.29,270.0,bottom
C28,411.6655,-176.29,270.0,bottom
C29,449.7655,-176.29,270.0,bottom
C3,197.353,-152.4775,270.0,bottom
C30,159.253,-195.34,270.0,bottom
C31,183.0655,-195.34,270.0,bottom
C32,202.1155,-195.34,270.0,bottom
C33,221.1655,-195.34,270.0,bottom
C34,240.2155,-195.34,270.0,bottom
C35,259.2655,-195.34,270.0,bottom
C36,278.3155,-195.34,270.0,bottom
C37,297.3655,-195.34,270.0,bottom
C38,316.4155,-195.34,270.0,bottom
C39,335.4655,-195.34,270.0,bottom
C4,216.403,-152.4775,270.0,bottom
C40,354.5155,-195.34,270.0,bottom
C41,373.5655,-195.34,270.0,bottom
C42,392.6155,-195.34,270.0,bottom
C43,416.428,-195.34,270.0,bottom
C44,449.7655,-195.34,270.0,bottom
C45,161.63425,-214.39,270.0,bottom
C46,187.828,-214.39,270.0,bottom
C47,206.878,-214.39,270.0,bottom
C48,225.928,-214.39,270.0,bottom
C49,244.978,-214.39,270.0,bottom
C5,235.453,-152.4775,270.0,bottom
C50,264.028,-214.39,270.0,bottom
C51,283.078,-214.39,270.0,bottom
C52,302.128,-214.39,270.0,bottom
C53,321.178,-214.39,270.0,bottom
C54,340.228,-214.39,270.0,bottom
C55,359.278,-214.39,270.0,bottom
C56,378.328,-214.39,270.0,bottom
C57,409.28425,-214.39,270.0,bottom
C58,166.39675,-233.44,270.0,bottom
C59,197.353,-233.44,270.0,bottom
C6,259.2655,-152.4775,270.0,bottom
C60,216.403,-233.44,270.0,bottom
C61,235.453,-233.44,270.0,bottom
C62,254.503,-233.44,270.0,bottom
C63,273.553,-233.44,270.0,bottom
C64,292.603,-233.44,270.0,bottom
C65,311.653,-233.44,270.0,bottom
C66,330.703,-233.44,270.0,bottom
C67,349.753,-233.44,270.0,bottom
C68,368.803,-233.44,270.0,bottom
C69,394.99675,-233.44,270.0,bottom
C7,278.3155,-152.4775,270.0,bottom
C70,425.953,-238.2025,270.0,bottom
C71,449.7655,-214.39,270.0,bottom
C72,449.7655,-233.44,270.0,bottom
C73,156.87175,-252.49,270.0,bottom
C74,180.68425,-252.49,270.0,bottom
C75,204.49675,-252.49,270.0,bottom
C76,275.93425,-252.49,270.0,bottom
C77,344.9905,-252.49,270.0,bottom
C78,364.0405,-252.49,270.0,bottom
C79,383.0905,-252.49,270.0,bottom
C8,297.3655,-152.4775,270.0,bottom
C80,406.903,-257.2525,270.0,bottom
C81,425.953,-257.2525,270.0,bottom
C82,445.003,-257.2525,270.0,bottom
C83,439.56,-174.4472,0.0,top
C84,435.9024,-176.898,90.0,top
C86,438.404,-155.3334,90.0,top
C87,446.0364,-150.114,180.0,top
C88,445.8078,-156.8704,0.0,top
C9,316.4155,-152.4775,270.0,bottom
C91,445.8338,-155.2194,0.0,top
C92,434.5048,-164.9222,180.0,top
C94,444.1444,-162.2682,90.0,top
C95,444.64,-159.8422,180.0,top
C97,430.895,-168.96,180.0,top
C98,445.8084,-158.3436,0.0,top
D1,164.5705,-151.4775,90.0,bottom
D10,350.308,-151.4775,90.0,bottom
D11,369.358,-151.4775,90.0,bottom
D12,388.408,-151.4775,90.0,bottom
D13,407.458,-151.4775,90.0,bottom
D14,431.2705,-151.4775,90.0,bottom
D15,164.5705,-175.29,90.0,bottom
D16,183.6205,-175.29,90.0,bottom
D17,202.6705,-175.29,90.0,bottom
D18,221.7205,-175.29,90.0,bottom
D19,240.7705,-175.29,90.0,bottom
D2,188.383,-151.4775,90.0,bottom
D20,259.8205,-175.29,90.0,bottom
D21,278.8705,-175.29,90.0,bottom
D22,297.9205,-175.29,90.0,bottom
D23,316.9705,-175.29,90.0,bottom
D24,336.0205,-175.29,90.0,bottom
D25,355.0705,-175.29,90.0,bottom
D26,374.1205,-175.29,90.0,bottom
D27,393.1705,-175.29,90.0,bottom
D28,421.7455,-175.29,90.0,bottom
D29,459.8455,-175.29,90.0,bottom
D3,207.433,-151.4775,90.0,bottom
D30,169.333,-194.34,90.0,bottom
D31,193.1455,-194.34,90.0,bottom
D32,212.1955,-194.34,90.0,bottom
D33,231.2455,-194.34,90.0,bottom
D34,250.2955,-194.34,90.0,bottom
